station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0V360,2020/4/14 00:00,94,0,0,12.6,0.89,1007.7,,0,-99,-99,-99,28.1,,12.3,
C0M780,2020/4/14 00:00,30,143,1.3,15.1,0.75,1014.9,,0,-99,-99,-99,24.1,,11.8,
C0K530,2020/4/14 00:00,12,94,1.4,15.1,0.65,1016.6,,0,-99,-99,-99,21.4,,14.2,
C0V750,2020/4/14 00:00,50,42,1.9,17.9,0.62,1014,,0,-99,-99,-99,25.8,,16,
C0T790,2020/4/14 00:00,2830,313,0.5,3,0.16,726.4,,0,-99,-99,-99,14.4,,-2.7,
C0S730,2020/4/14 00:00,110,42,10,19.3,0.62,1006.6,,0,-99,-99,-99,22.7,,18.6,
C0F0D0,2020/4/14 00:00,3171,134,0.5,2,0.07,696.6,,0,-99,-99,-99,8.3,,-4.1,
C0F9X0,2020/4/14 00:00,166,0,0,16.9,0.55,-99,,0,-99,-99,-99,20,,13.5,
C0F9Q0,2020/4/14 00:00,149,128,1.8,15,0.65,1000.1,,0,-99,-99,-99,21.1,,12.3,
C0E780,2020/4/14 00:00,160,194,0.3,13.9,0.7,1000.4,,0,-99,-99,-99,21.4,,8.6,
C0SA80,2020/4/14 00:00,136,273,0.5,15.5,0.85,1004.5,,0,-99,-99,-99,22.7,,15.5,
C0T960,2020/4/14 00:00,120,0,0,14.9,0.99,1007.5,,0.5,-99,-99,-99,23.6,,14.3,
C0X320,2020/4/14 00:00,30,171,0.7,13.5,0.81,1014.1,,0,-99,-99,-99,24.7,,11.1,
C0UA50,2020/4/14 00:00,808,356,1.5,7.4,0.77,929.1,,0,-99,-99,-99,19,,6.8,
C0U860,2020/4/14 00:00,5,274,1.1,13.6,0.72,1021.5,,0,-99,-99,-99,23.3,,12.9,
C0F0C0,2020/4/14 00:00,983,192,0.4,12.8,0.61,908.1,,0,-99,-99,-99,18.1,,10.5,
C0D480,2020/4/14 00:00,223,0,0,10.1,0.68,992.6,,0,-99,-99,-99,21.6,,6.2,
C0K291,2020/4/14 00:00,8,0,0,14.5,0.74,1017.5,,0,-99,-99,-99,22.1,,13.1,
C0X170,2020/4/14 00:00,50,53,0.9,15.1,0.78,1012.4,,0,-99,-99,-99,26.2,,13.9,
C0AH30,2020/4/14 00:00,755,360,2.9,11,0.8,934.9,,0,-99,-99,-99,17.2,,9.8,
C0R130,2020/4/14 00:00,1040,89,2.1,12,0.73,900.4,,0,-99,-99,-99,20.7,,11.5,
C0M790,2020/4/14 00:00,15,100,0.9,15.5,0.73,1015,,0,-99,-99,-99,22.8,,12.8,
C0C590,2020/4/14 00:00,72,71,0.7,14.8,0.51,1011,,0,-99,-99,-99,21.4,,9.7,
C0G780,2020/4/14 00:00,27,59,1.4,17.1,0.56,1014.7,,0,-99,-99,-99,21.6,,15.1,
C0V660,2020/4/14 00:00,25,39,0.7,17.7,0.59,1016.1,,0,-99,-99,-99,25.9,,14.9,
C0F9R0,2020/4/14 00:00,20,0,0.2,16.4,0.59,1017.4,,0,-99,-99,-99,20.7,,14.8,
C0W130,2020/4/14 00:00,18,41,3.5,20.1,0.53,1015.2,,0,-99,-99,-99,22.2,,18.1,
C0C700,2020/4/14 00:00,151,92,2.9,14.8,0.42,1002.8,,0,-99,-99,-99,20.4,,11.1,
C0R740,2020/4/14 00:00,58,93,2.2,20,0.58,1012.7,,0,-99,-99,-99,23.9,,18.5,
C0R100,2020/4/14 00:00,1006,275,0.8,10,0.96,906.5,,0,-99,-99,-99,18.7,,9.9,
C0X120,2020/4/14 00:00,28,119,1.6,17.3,0.68,1016.4,,0,-99,-99,-99,24.2,,14,
C0R670,2020/4/14 00:00,26,46,2.8,20.6,0.57,1016.7,,0,7.9,37,,24.6,,19,
C0W110,2020/4/14 00:00,16,36,3.8,15,0.79,1019.7,,0,-99,-99,-99,20,,12.5,
CM0130,2020/4/14 00:00,11,88,2.8,17.2,0.6,1017.9,,0,-99,-99,-99,21.4,,16.1,
C0AC70,2020/4/14 00:00,71,81,0.4,14.8,0.53,1013,,0,-99,-99,-99,22,,10.7,
CM0100,2020/4/14 00:00,25,131,1.6,13.9,0.51,1016.5,,0,-99,-99,-99,20.7,,8.6,
C0X050,2020/4/14 00:00,25,171,0.3,14.1,0.88,1014.2,,0,-99,-99,-99,24.7,,11.6,
C0K580,2020/4/14 00:00,26,94,0.7,14.6,0.93,1016.4,,0,-99,-99,-99,23.6,,11,
C0G650,2020/4/14 00:00,34,0,0,15.6,0.79,1014.1,,0,-99,-99,-99,24.5,,12,
C0T9B0,2020/4/14 00:00,558,261,1.3,12.9,0.71,958,,0,-99,-99,-99,19.3,,9.9,
C0E850,2020/4/14 00:00,104,67,0.6,13.1,0.72,1006.4,,0,-99,-99,-99,21.1,,7.2,
C0S990,2020/4/14 00:00,409,3,2.9,16.3,0.72,973.4,,0,-99,-99,-99,20.6,,14.3,
C0X240,2020/4/14 00:00,394,177,1.6,14.7,0.65,973.5,,0,-99,-99,-99,23.1,,10.5,
C0I090,2020/4/14 00:00,910,136,0.7,11.9,0.79,916.3,,0,-99,-99,-99,19.3,,8.8,
C0I490,2020/4/14 00:00,1601,93,2.7,7.4,0.58,844,,0,-99,-99,-99,17.4,,5.1,
C0Z050,2020/4/14 00:00,830,0,0,11.7,0.76,928.6,,0.5,-99,-99,-99,16.3,,9.5,
C0X150,2020/4/14 00:00,18,104,0.7,17.2,0.68,1018,,0,-99,-99,-99,24.8,,14.2,
C0R690,2020/4/14 00:00,248,50,1.7,19,0.69,989.6,,0,-99,-99,-99,23.5,,15,
C0U720,2020/4/14 00:00,1260,328,0.5,6.2,1,891.8,,0,-99,-99,-99,16.7,,3.6,
C0W140,2020/4/14 00:00,21,35,2.6,17,0.57,1019.1,,0,-99,-99,-99,20.7,,9.6,
C0G660,2020/4/14 00:00,27,124,0.9,14.3,0.78,1016.2,,0,-99,-99,-99,23.2,,13.4,
C0R810,2020/4/14 00:00,25,77,2.3,19.8,0.58,1016.2,,0,-99,-99,-99,25.4,,16.2,
C0T9F0,2020/4/14 00:00,251,296,0.6,14,0.72,992.6,,0,-99,-99,-99,23.6,,12.2,
C0R350,2020/4/14 00:00,35,58,4.5,21.7,0.62,1014.7,,0,-99,-99,-99,25.4,,18.6,
C0K550,2020/4/14 00:00,15,0,0,14.5,0.74,1016.5,,0,-99,-99,-99,22.5,,12.5,
C0C670,2020/4/14 00:00,250,49,1.4,12.6,0.53,991,,0,-99,-99,-99,18.6,,8.4,
C0A980,2020/4/14 00:00,11,173,2.3,15.2,0.52,1020.6,,0,-99,-99,-99,21.4,,9.7,
C0UA60,2020/4/14 00:00,566,32,1.6,11,0.58,956,,0,-99,-99,-99,20.5,,8.2,
C0V720,2020/4/14 00:00,15,54,2.2,19.6,0.56,1017,,0,-99,-99,-99,25.1,,17,
C0C480,2020/4/14 00:00,105,121,1.1,14.3,0.52,1008.1,,0,-99,-99,-99,22.6,,9.2,
C0S900,2020/4/14 00:00,27,61,1,20.7,0.59,1017.7,,0,-99,-99,-99,23.5,,20,
C0SA00,2020/4/14 00:00,466,0,0.2,13.5,0.87,966.7,,0,-99,-99,-99,21.4,,12.8,
C0V730,2020/4/14 00:00,33,17,0.8,19,0.55,1015.5,,0,-99,-99,-99,25.3,,15.9,
C0G730,2020/4/14 00:00,27,354,0.6,13.9,0.77,1015.6,,0,-99,-99,-99,21.1,,12.7,
C0Z300,2020/4/14 00:00,182,90,0.9,16.5,0.77,1001.6,,0,-99,-99,-99,22.5,,14.3,
C0H9A0,2020/4/14 00:00,1595,280,0.7,6.8,0.83,848.1,,0,-99,-99,-99,16.2,,3.8,
C0S840,2020/4/14 00:00,22,315,1.2,19.9,0.62,1019,,0,-99,-99,-99,24.2,,15.9,
C0Z150,2020/4/14 00:00,27,234,1.4,16.8,0.72,1019,,0,-99,-99,-99,21.7,,14.3,
C0W170,2020/4/14 00:00,42,26,4.4,14.8,0.72,1015.4,,0,-99,-99,-99,19.7,,14.2,
C0E540,2020/4/14 00:00,32,166,0.6,12,0.83,1015.9,,0,-99,-99,-99,21.8,,7.7,
C0D660,2020/4/14 00:00,65,89,2.8,14.9,0.5,1011.7,,0,-99,-99,-99,20.8,,10.5,
C0U650,2020/4/14 00:00,442,1,0.4,11.5,0.6,971,,0,-99,-99,-99,21.6,,10.8,
C0G810,2020/4/14 00:00,26,120,0.9,16.6,0.62,1014.9,,0,-99,-99,-99,22.6,,14.6,
C0F9Z0,2020/4/14 00:00,3193,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-999,,-999,
C0M410,2020/4/14 00:00,245,340,1.3,13.8,0.75,986.9,,0,-99,-99,-99,23.6,,13.4,
C0I410,2020/4/14 00:00,180,143,3.7,16.5,0.62,997.2,,0,-99,-99,-99,23.2,,10,
C0R840,2020/4/14 00:00,536,41,5.8,15,0.84,957.8,,0,10.9,46,,20.7,,12.6,
C0K250,2020/4/14 00:00,12,40,1.4,13.2,0.83,1016.6,,0,-99,-99,-99,22.8,,11.4,
C0AH80,2020/4/14 00:00,68,83,1.1,9.9,0.91,1012.8,,0,-99,-99,-99,21,,6.7,
C0V640,2020/4/14 00:00,35,86,1.7,16.2,0.74,1014.5,,0,-99,-99,-99,24.6,,16,
C0S920,2020/4/14 00:00,98,300,1,15.7,0.79,1004.1,,0,-99,-99,-99,24.2,,15.5,
C0S830,2020/4/14 00:00,288,303,0.6,16.1,0.68,989.2,,0,-99,-99,-99,24.2,,14.6,
C0V800,2020/4/14 00:00,256,284,0.5,16.9,0.74,987.8,,0,-99,-99,-99,26.4,,16.7,
C0R140,2020/4/14 00:00,740,118,0.5,13.5,0.77,937,,0,-99,-99,-99,20.5,,11,
C0K410,2020/4/14 00:00,20,106,1.2,16.2,0.65,1014.7,,0,-99,-99,-99,22.3,,13.2,
C0M860,2020/4/14 00:00,578,54,0.3,13.3,0.73,952.6,,-99,-99,-99,-99,22.8,,12.3,
C0F000,2020/4/14 00:00,273,82,0.9,13.7,0.7,984,,0,-99,-99,-99,20.1,,13.7,
C0W150,2020/4/14 00:00,42,32,3.7,17.7,0.56,1016.4,,0,-99,-99,-99,22.3,,14.7,
C0AH90,2020/4/14 00:00,660,0,0.1,5.6,0.99,948.7,,0,-99,-99,-99,19.1,,1.6,
C0F9K0,2020/4/14 00:00,30,326,0.6,15.6,0.63,1014.1,,0,-99,-99,-99,20.1,,14,
C0H990,2020/4/14 00:00,3076,16,1.2,0.8,0.13,704.8,,0,-99,-99,-99,7.6,,-4.6,
C0V260,2020/4/14 00:00,126,52,1.1,16,0.69,1004.2,,0,-99,-99,-99,28.2,,14.6,
C0S970,2020/4/14 00:00,19,329,1,19.5,0.58,1017.5,,0,-99,-99,-99,23.1,,17,
C0U940,2020/4/14 00:00,25,253,1.5,13,0.72,1020.1,,0,-99,-99,-99,22.9,,9.6,
C0A860,2020/4/14 00:00,362,344,1.9,11.4,0.72,978.9,,0,-99,-99,-99,19.6,,9.2,
C0R710,2020/4/14 00:00,117,61,7.3,20.9,0.64,1005.6,,0,-99,-99,-99,23.9,,18.1,
C0I480,2020/4/14 00:00,2165,183,0.3,3.3,0.68,789.4,,0,-99,-99,-99,12.6,,-1.3,
C0G910,2020/4/14 00:00,42,89,2.8,17,0.53,1012.2,,0,-99,-99,-99,21.7,,14.6,
C0X080,2020/4/14 00:00,2,113,1.8,14.6,0.72,1017.9,,0,-99,-99,-99,26.1,,13.8,
C0AH00,2020/4/14 00:00,38,140,0.3,11.8,0.84,1016.8,,0,-99,-99,-99,20.2,,9.8,
C0V700,2020/4/14 00:00,24,18,1.6,19.8,0.56,1015,,0,-99,-99,-99,24.9,,16.5,
C0AD00,2020/4/14 00:00,86,95,0.7,15.6,0.55,1011.2,,0,-99,-99,-99,20.5,,11.5,
C0O900,2020/4/14 00:00,9,151,1.1,15.2,0.99,1017.8,,0,-99,-99,-99,24.9,,13.2,
C0R570,2020/4/14 00:00,37,359,1.3,18.7,0.65,1013.1,,0,-99,-99,-99,25.7,,15.6,
C0AG90,2020/4/14 00:00,25,110,2,14.6,0.55,1018.6,,0,-99,-99,-99,21.5,,9.5,
C0T9I0,2020/4/14 00:00,152,205,0.3,15.5,0.68,1004.7,,0,-99,-99,-99,23,,14,
C0O980,2020/4/14 00:00,18,104,0.3,14.4,0.84,1017.8,,0,-99,-99,-99,26.1,,13.6,
C0R270,2020/4/14 00:00,51,8,1.6,19.6,0.6,1011.2,,0,-99,-99,-99,25.7,,17.1,
C0T9H0,2020/4/14 00:00,725,23,3.3,10.2,0.93,938.7,,0,-99,-99,-99,19.5,,9.4,
C0A660,2020/4/14 00:00,97,0,0,10.8,0.81,1009.4,,0,-99,-99,-99,20.7,,8.4,
C0A890,2020/4/14 00:00,40,0,0,8.9,0.96,1016.6,,0,-99,-99,-99,21.4,,6.5,
C0O840,2020/4/14 00:00,134,114,1.3,16.1,0.53,1001.1,,0,-99,-99,-99,23.8,,13.6,
C0R530,2020/4/14 00:00,16,28,1.8,19,0.56,1016.7,,0,-99,-99,-99,22.9,,15.3,
C0G870,2020/4/14 00:00,12,46,0.7,14.9,0.51,1017.7,,0,-99,-99,-99,22.3,,13.7,
C0M820,2020/4/14 00:00,980,0,0.2,10.3,0.76,909,,0,-99,-99,-99,18.6,,10.1,
C0F9S0,2020/4/14 00:00,43,159,0.7,16.9,0.63,1014,,0,-99,-99,-99,22.3,,13.6,
C0R160,2020/4/14 00:00,45,10,1.1,16.5,0.83,1012.8,,0,-99,-99,-99,25.6,,14.9,
C0A950,2020/4/14 00:00,60,161,1.8,16.8,0.47,1014.5,,0,-99,-99,-99,18.7,,16.2,
C0F9L0,2020/4/14 00:00,253,0,0.1,17,0.51,988.9,,0,-99,-99,-99,20.8,,13.6,
C0R650,2020/4/14 00:00,29,36,1,18.6,0.64,1016.4,,0,-99,-99,-99,25.6,,15,
C0S750,2020/4/14 00:00,2280,276,1.4,5.3,0.41,774,,0,-99,-99,-99,6.9,,0.6,
C0I370,2020/4/14 00:00,671,0,0,10.9,0.84,943.2,,0,-99,-99,-99,22.5,,8.5,
C0K400,2020/4/14 00:00,65,76,0.9,15.1,0.76,1011.2,,0,-99,-99,-99,22.8,,11.6,
C0A650,2020/4/14 00:00,287,0,0,6.9,0.99,988.3,,0,-99,-99,-99,19.3,,4.6,
C0U750,2020/4/14 00:00,398,288,3.2,13.3,0.67,974.3,,0,-99,-99,-99,16.6,,12.2,
C0M730,2020/4/14 00:00,40,127,1,16.5,0.7,1012.8,,0,-99,-99,-99,25.5,,13.7,
C0Z061,2020/4/14 00:00,174,67,0.4,16.3,0.81,1004.5,,0,-99,-99,-99,24.6,,14.2,
C0M670,2020/4/14 00:00,43,119,1.4,16,0.69,1012.5,,0,-99,-99,-99,22.7,,12.1,
C0I530,2020/4/14 00:00,3014,194,1.7,1.3,0.11,-99,,-99,-99,-99,-99,7.4,,-4.8,
C0A880,2020/4/14 00:00,6,257,1.1,11.2,0.79,1019.8,,0,-99,-99,-99,21.2,,10,
C0S950,2020/4/14 00:00,415,244,1.5,14.6,0.79,972.2,,0,-99,-99,-99,20.1,,13,
C0X190,2020/4/14 00:00,10,46,1.4,18.2,0.57,1017.3,,0,-99,-99,-99,24.3,,15.3,
C0A560,2020/4/14 00:00,405,155,0.5,8.1,1,975.3,,0,-99,-99,-99,21,,3.8,
C0C630,2020/4/14 00:00,209,90,2.6,12.3,0.56,995.9,,0,-99,-99,-99,19.6,,9.7,
C0D550,2020/4/14 00:00,1956,0,0,5.5,0.6,812.5,,0,-99,-99,-99,12.3,,-1,
C0T9E0,2020/4/14 00:00,415,65,1.3,13.1,0.71,974.6,,0,-99,-99,-99,21.4,,11.3,
C0U960,2020/4/14 00:00,1885,36,2.6,4,0.66,816.3,,0,-99,-99,-99,11.3,,0.1,
C0AI30,2020/4/14 00:00,26,90,2.5,15.9,0.57,1019,,0,-99,-99,-99,21,,12.2,
C0R240,2020/4/14 00:00,87,27,1.2,15.2,0.84,1008.1,,0,-99,-99,-99,25.4,,12.7,
C0AD30,2020/4/14 00:00,20,121,1.7,15.9,0.5,1016.4,,0,-99,-99,-99,21.7,,12,
C0D430,2020/4/14 00:00,87,0,0,10.9,0.94,1008,,0,-99,-99,-99,23.3,,6,
C0X210,2020/4/14 00:00,38,152,1.4,15.1,0.74,1012.1,,0,-99,-99,-99,23.5,,13.5,
C0R680,2020/4/14 00:00,13,60,5.1,22.1,0.6,1017.6,,0,11.3,74,,24.1,,18.4,
C0R820,2020/4/14 00:00,588,83,0.7,14,0.73,952.8,,0,-99,-99,-99,23.5,,12.1,
C0E880,2020/4/14 00:00,507,114,1.1,15.7,0.41,960.4,,0,-99,-99,-99,18.1,,9.7,
C0O960,2020/4/14 00:00,112,54,1.3,15.4,0.73,1004.9,,0,-99,-99,-99,26.8,,13.5,
C0H950,2020/4/14 00:00,192,0,0,12.1,0.97,996.7,,0,-99,-99,-99,23.7,,8.9,
C0SA60,2020/4/14 00:00,6,347,1.9,17.9,0.63,1019.2,,0,-99,-99,-99,24.4,,17.1,
C0A540,2020/4/14 00:00,401,0,0,7.7,0.95,973.9,,0,-99,-99,-99,18.9,,5.6,
C0C690,2020/4/14 00:00,242,156,1.5,13.4,0.5,991.6,,0,-99,-99,-99,18.3,,9.2,
C0V370,2020/4/14 00:00,74,57,0.4,13.8,0.88,1010.9,,0,-99,-99,-99,27.1,,13.6,
C0I110,2020/4/14 00:00,161,31,0.3,15.3,0.79,1000.8,,0,-99,-99,-99,24.4,,12.2,
C0U520,2020/4/14 00:00,517,238,1.2,8.7,0.92,964.6,,0,-99,-99,-99,21.3,,8.7,
C0T9G0,2020/4/14 00:00,605,36,0.9,12,1,953.9,,0,-99,-99,-99,19.1,,11.2,
C0S700,2020/4/14 00:00,507,233,0.5,12.9,0.8,963.1,,0,-99,-99,-99,21.5,,11.9,
C0Z310,2020/4/14 00:00,59,327,0.7,15.7,0.76,1015.4,,0.5,-99,-99,-99,22.5,,14.9,
C0V610,2020/4/14 00:00,22,40,0.9,18.1,0.65,1016.1,,0,-99,-99,-99,24.6,,15.2,
C0E610,2020/4/14 00:00,850,0,0,13.9,0.35,923.5,,0,-99,-99,-99,18.8,,8.5,
C0R280,2020/4/14 00:00,242,62,1.6,18.5,0.74,991.3,,0,-99,-99,-99,22.6,,14.8,
C0V450,2020/4/14 00:00,51,25,0.6,17.8,0.55,1012.5,,0,-99,-99,-99,25.5,,15.2,
C0M720,2020/4/14 00:00,225,110,1,16.2,0.61,991.9,,0,-99,-99,-99,22.2,,12.4,
C0AD10,2020/4/14 00:00,27,132,2.5,16.7,0.43,1017.1,,0,-99,-99,-99,20.6,,11.1,
C0Z180,2020/4/14 00:00,34,310,0.4,17,0.65,1017.5,,0,-99,-99,-99,22.2,,13.4,
C0K420,2020/4/14 00:00,42,125,0.9,15.5,0.72,1012.9,,0,-99,-99,-99,22.1,,11.2,
C0D540,2020/4/14 00:00,227,49,0.6,11.1,0.81,994,,0,-99,-99,-99,21.5,,7.2,
C0E590,2020/4/14 00:00,40,85,0.3,12.1,0.85,1013.3,,0,-99,-99,-99,21.1,,8.1,
C0Z330,2020/4/14 00:00,488,9,1.1,13.2,0.82,966.8,,0,-99,-99,-99,21.7,,12,
C0R580,2020/4/14 00:00,10,21,0.6,19.1,0.64,1017.5,,0,-99,-99,-99,24.2,,14.8,
C0S810,2020/4/14 00:00,65,11,0.8,17.7,0.67,1015.7,,0,-99,-99,-99,25.4,,16.1,
C0V820,2020/4/14 00:00,441,43,2.4,15,0.66,970.4,,0,-99,-99,-99,24.6,,12,
C0K490,2020/4/14 00:00,91,98,0.8,15.6,0.7,1007.2,,0,-99,-99,-99,23.4,,13,
C0SA20,2020/4/14 00:00,857,3,2.6,11.6,0.84,922.8,,0,-99,-99,-99,17.7,,10.3,
CM0140,2020/4/14 00:00,26,40,1.5,19.6,0.51,1018.2,,0,-99,-99,-99,23.5,,17.6,
C0AC80,2020/4/14 00:00,40,71,0.6,11.1,0.81,1016.4,,0,-99,-99,-99,21.5,,7.5,
C0M810,2020/4/14 00:00,1354,166,0.9,8.9,0.78,868.3,,0,-99,-99,-99,17,,8.4,
C0I360,2020/4/14 00:00,300,41,1.6,14.3,0.71,983.5,,0,-99,-99,-99,22.6,,11.5,
C0C620,2020/4/14 00:00,19,111,2.2,17.4,0.55,1017.1,,0,-99,-99,-99,24.6,,9.6,
C0M850,2020/4/14 00:00,695,0,0,13.4,0.69,938.9,,0,-99,-99,-99,23.7,,11.8,
C0UA20,2020/4/14 00:00,2619,199,2.7,2.1,0.41,-99,,0,-99,-99,-99,11.3,,-1.9,
C0F9V0,2020/4/14 00:00,525,176,1.2,14.3,0.68,959.5,,0,-99,-99,-99,19.6,,9.7,
C0T900,2020/4/14 00:00,160,0,0,13.9,0.8,1001.6,,0,-99,-99,-99,24,,12.7,
C0K440,2020/4/14 00:00,35,69,0.6,15.4,0.71,1014,,0,-99,-99,-99,21,,12.2,
C0Z250,2020/4/14 00:00,1124,0,0.1,8.7,0.99,894.5,,0.5,-99,-99,-99,16.3,,7.6,
C0G860,2020/4/14 00:00,45,106,0.9,18.4,0.52,1011.8,,0,-99,-99,-99,23.7,,13.4,
C0V790,2020/4/14 00:00,410,18,1.9,15.7,0.58,971,,0,-99,-99,-99,24.4,,14.8,
C0V740,2020/4/14 00:00,60,350,1.8,16.6,0.66,1013,,0,-99,-99,-99,25.9,,16,
C0Z200,2020/4/14 00:00,153,0,0.1,14.7,0.99,1004.8,,0,-99,-99,-99,21.7,,12.5,
C0K520,2020/4/14 00:00,10,56,0.7,15.6,0.67,1015.9,,0,-99,-99,-99,21.8,,13.4,
C0X250,2020/4/14 00:00,33,142,0.6,16.4,0.65,1014.3,,0,-99,-99,-99,23.5,,12.7,
C0S940,2020/4/14 00:00,150,341,1.4,17,0.67,1003.1,,0,-99,-99,-99,25.9,,15.9,
CM0110,2020/4/14 00:00,7,26,1.2,15.7,0.62,1017.8,,-99,-99,-99,-99,20.9,,15,
C0A970,2020/4/14 00:00,96,343,2.5,15.3,0.53,1011.2,,0,-99,-99,-99,18.9,,13.5,
C0M700,2020/4/14 00:00,150,83,2,14.4,0.81,1001.4,,0,-99,-99,-99,23.9,,12.5,
C0U990,2020/4/14 00:00,31,257,1.1,13.3,0.71,1019.1,,0,-99,-99,-99,22.9,,10.4,
C0D590,2020/4/14 00:00,143,60,1.2,13.7,0.45,1003.5,,0,-99,-99,-99,20.9,,10,
C0S790,2020/4/14 00:00,236,329,0.7,14.8,0.79,994.5,,0,-99,-99,-99,24.4,,14.2,
C0A570,2020/4/14 00:00,360,79,0.9,8,0.9,980.5,,0,-99,-99,-99,19.5,,5.9,
C0M800,2020/4/14 00:00,440,0,0,13.5,0.77,968.7,,0,-99,-99,-99,23.6,,12.8,
C0E870,2020/4/14 00:00,34,40,0.8,13,0.72,1017.1,,0,-99,-99,-99,21,,9.6,
C0V490,2020/4/14 00:00,20,334,1.6,19.5,0.49,1016.5,,0,-99,-99,-99,25.1,,16.4,
C0M710,2020/4/14 00:00,15,117,1.2,15.7,0.69,1016.4,,0,-99,-99,-99,22.1,,13.6,
C0D570,2020/4/14 00:00,15,0,0,13.1,0.74,1017.6,,0,-99,-99,-99,22.7,,8.3,
C0S910,2020/4/14 00:00,212,111,0.9,19.4,0.75,996.5,,0,6.4,50,,21.9,,18.5,
C0M650,2020/4/14 00:00,20,124,1.3,14.9,0.73,1016.1,,0,-99,-99,-99,22.7,,12.8,
C0K280,2020/4/14 00:00,23,21,0.6,13.4,0.84,1017.6,,0,-99,-99,-99,23.3,,10.7,
C0X310,2020/4/14 00:00,9,119,0.9,16.2,0.67,1018,,0,-99,-99,-99,21.8,,15.4,
C0A9C0,2020/4/14 00:00,35,137,1.2,13.6,0.71,1017.6,,0,-99,-99,-99,21.2,,10.2,
C0V810,2020/4/14 00:00,32,27,0.3,18.4,0.56,1013.9,,0,-99,-99,-99,23.3,,15.4,
C0E730,2020/4/14 00:00,26,71,0.6,14.5,0.63,1014.7,,0,-99,-99,-99,21.9,,9.9,
C0V770,2020/4/14 00:00,26,317,0.6,17.3,0.62,1015.6,,0,-99,-99,-99,25.9,,15.1,
C0UA10,2020/4/14 00:00,1711,339,0.3,4.2,0.69,834.9,,0,-99,-99,-99,14.3,,1.4,
C0R660,2020/4/14 00:00,20,67,2.4,19.3,0.6,1016.8,,0,-99,-99,-99,24,,15.8,
C0M640,2020/4/14 00:00,155,0,0.2,16.8,0.59,999.9,,0,-99,-99,-99,22.9,,12.8,
C0S660,2020/4/14 00:00,794,157,0.9,12.2,0.83,931.9,,0,-99,-99,-99,19.6,,10.3,
C0G900,2020/4/14 00:00,20,36,0.9,17.2,0.62,1015.3,,0,-99,-99,-99,21,,16.5,
